,company_name,company_rating,other_data
0,Zydus Lifesciences,4.2,"Pharma , 10k-50k Employees , Public , 72 years old , Ahmedabad +152 more"
1,Intas Pharmaceuticals,4.2,"Pharma , 10k-50k Employees , Fortune India 500 , 47 years old , Ahmedabad +116 more"
2,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Ahmedabad +637 more"
3,TTEC India,3.8,"BPO , 1k-5k Employees , Public , 40 years old , Ahmedabad +24 more"
4,Cadila Pharmaceuticals,3.6,"Pharma , 5k-10k Employees , Public , 73 years old , Ahmedabad +114 more"
5,Amneal Pharmaceuticals,4.3,"Pharma , 5k-10k Employees , 22 years old , Ahmedabad +26 more"
6,Torrent Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 53 years old , Ahmedabad +97 more"
7,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Ahmedabad +349 more"
8,S&P Global,4.2,"Analytics & KPO , 10k-50k Employees , Public , 164 years old , Ahmedabad +24 more"
9,Lambda Therapeutic Research,4.7,"Clinical Research , 1k-5k Employees , 25 years old , Ahmedabad +6 more"
10,Arvind Group,4.1,"Fashion & Textile , 10k-50k Employees , Public , 93 years old , Ahmedabad +80 more"
11,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Ahmedabad +1560 more"
12,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Ahmedabad +1295 more"
13,Torrent Power,3.8,"Power , 5k-10k Employees , Public , 28 years old , Ahmedabad +38 more"
14,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Ahmedabad +269 more"
15,Petpooja,4.4,"Software Product , 1k-5k Employees , 13 years old , Ahmedabad +53 more"
16,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Ahmedabad +573 more"
17,Adani Group,4.0,"Power , 10k-50k Employees , Public , 36 years old , Ahmedabad +126 more"
18,JBM Group,4.0,"Auto Components , 1k-5k Employees , Public , 41 years old , Ahmedabad +85 more"
19,Troikaa Pharmaceuticals,3.8,"Pharma , 1k-5k Employees , 41 years old , Ahmedabad +66 more"
20,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Ahmedabad +623 more"
21,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Ahmedabad +1317 more"
22,K D Hospital,4.8,"Healthcare , 201-500 Employees , 6 years old , Ahmedabad +3 more"
23,Shalby Hospitals,4.6,"Healthcare , 1k-5k Employees , Public , 30 years old , Ahmedabad +23 more"
24,suzuki motor gujarat,4.3,"Fortune India 500 , Ahmedabad +95 more"
25,HDB Financial Services,4.0,"NBFC , 1 Lakh+ Employees , 17 years old , Ahmedabad +959 more"
26,Reliance Retail,4.0,"Retail , 1 Lakh+ Employees , 18 years old , Ahmedabad +1013 more"
27,Otsuka Pharmaceutical India Private Limited,4.2,"Pharma , 501-1k Employees , Forbes Global 2000 , 8 years old , Ahmedabad +31 more"
28,Psp Projects,3.9,"Engineering & Construction , 1k-5k Employees , 16 years old , Ahmedabad +39 more"
29,Adani Enterprises,3.8,"10k-50k Employees , Public , 36 years old , Ahmedabad +55 more"
30,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Ahmedabad +433 more"
31,Brainvire,4.0,"IT Services & Consulting , 201-500 Employees , 24 years old , Ahmedabad +8 more"
32,Einfochips,3.5,"IT Services & Consulting , 1k-5k Employees , 30 years old , Ahmedabad +10 more"
33,Electrotherm,4.2,"Iron & Steel , 1k-5k Employees , Public , 41 years old , Ahmedabad +33 more"
34,Advantmed,3.6,"Software Product , 501-1k Employees , 19 years old , Ahmedabad +6 more"
35,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Ahmedabad +1175 more"
36,Ford Motor,4.5,"Automobile , 5k-10k Employees , Public , 121 years old , Ahmedabad +110 more"
37,eClinicalWorks,3.9,"Software Product , 1k-5k Employees , 25 years old , Ahmedabad +12 more"
38,Eris Lifesciences,3.8,"Pharma , 1k-5k Employees , Public , 17 years old , Ahmedabad +75 more"
39,Adani Wilmar,4.2,"FMCG , 1k-5k Employees , Public , 25 years old , Ahmedabad +154 more"
40,Dishman Carbogen Amcis,3.8,"Healthcare , 1k-5k Employees , 17 years old , Ahmedabad +10 more"
41,Honda Motorcycle & Scooter,4.1,"Automobile , 10k-50k Employees , 23 years old , Indore +217 more"
42,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Indore +660 more"
43,Baxter International,4.1,"Healthcare , 1k-5k Employees , Forbes Global 2000 , 93 years old , Ahmedabad +26 more"
44,Medusind Solutions,3.9,"IT Services & Consulting , 1k-5k Employees , 22 years old , Ahmedabad +8 more"
45,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Indore +687 more"
46,Veeda Clinical Research,4.1,"Clinical Research , 501-1k Employees , 20 years old , Ahmedabad +5 more"
47,Entigrity Solutions,4.2,"Recruitment , 1k-5k Employees , 9 years old , Indore +12 more"
48,Harsha Engineers,4.2,"Auto Components , 1k-5k Employees , 38 years old , Ahmedabad +8 more"
49,IMS People,3.5,"Recruitment , 1k-5k Employees , 18 years old , Indore +22 more"
50,Adani Green Energy,4.2,"Power , 1k-5k Employees , Fortune India 500 , 9 years old , Indore +67 more"
51,Adani Power,3.9,"Power , 1k-5k Employees , Public , 18 years old , Mundra +84 more"
52,Astral Pipe,4.3,"Building Material , 1-10 Employees , Fortune India 500 , Indore +96 more"
53,Cygnet Infotech,3.7,"IT Services & Consulting , 1k-5k Employees , 24 years old , Ahmedabad +9 more"
54,Mastek,3.7,"IT Services & Consulting , 1k-5k Employees , Public , 42 years old , Ahmedabad +18 more"
