,company_name,company_rating,other_data
0,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +349 more"
1,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Dublin +181 more"
2,Cognizant,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Teaneck. New Jersey. +169 more"
3,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Bangalore/Bengaluru +272 more"
4,Capgemini,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Paris +142 more"
5,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1560 more"
6,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1295 more"
7,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Bengaluru/Bangalore +182 more"
8,HCLTech,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Noida +184 more"
9,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Pune +269 more"
10,Genpact,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , New York +112 more"
11,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Mumbai +1317 more"
12,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Paris +192 more"
13,Concentrix Corporation,3.9,"BPO , 50k-1 Lakh Employees , Public , 41 years old , Fremont +117 more"
14,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Navi Mumbai +1175 more"
15,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Seattle +455 more"
16,IBM,4.1,"IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old , Armonk +149 more"
17,Reliance Retail,4.0,"Retail , 1 Lakh+ Employees , 18 years old , Navi Mumbai +1013 more"
18,HDB Financial Services,4.0,"NBFC , 1 Lakh+ Employees , 17 years old , Ahmedabad +959 more"
19,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Mumbai +623 more"
20,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +349 more"
21,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Dublin +181 more"
22,Cognizant,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Teaneck. New Jersey. +169 more"
23,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Bangalore/Bengaluru +272 more"
24,Capgemini,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Paris +142 more"
25,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1560 more"
26,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1295 more"
27,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Bengaluru/Bangalore +182 more"
28,HCLTech,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Noida +184 more"
29,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Pune +269 more"
30,Genpact,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , New York +112 more"
31,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Mumbai +1317 more"
32,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Paris +192 more"
33,Concentrix Corporation,3.9,"BPO , 50k-1 Lakh Employees , Public , 41 years old , Fremont +117 more"
34,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Navi Mumbai +1175 more"
35,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Seattle +455 more"
36,IBM,4.1,"IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old , Armonk +149 more"
37,Reliance Retail,4.0,"Retail , 1 Lakh+ Employees , 18 years old , Navi Mumbai +1013 more"
38,HDB Financial Services,4.0,"NBFC , 1 Lakh+ Employees , 17 years old , Ahmedabad +959 more"
39,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Mumbai +623 more"
40,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +349 more"
