,company_name,company_rating,other_data
0,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Indore +192 more"
1,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Indore +349 more"
2,Cipla,4.1,"Pharma , 10k-50k Employees , Public , 89 years old , Indore +239 more"
3,TaskUs,3.5,"BPO , 5k-10k Employees , 16 years old , Indore +24 more"
4,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Indore +1295 more"
5,VE Commercial Vehicles,4.1,"Automobile , 1k-5k Employees , 16 years old , Indore +128 more"
6,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Indore +1560 more"
7,Lupin,4.1,"Pharma , 1k-5k Employees , Public , 56 years old , Indore +170 more"
8,Taurus BPO Services,4.6,"BPO , 1k-5k Employees , 9 years old , Indore +14 more"
9,Swastika Investmart,4.4,"Investment Banking / Venture Capital / Private Equity , 501-1k Employees , Public , 32 years old , Indore +41 more"
10,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Indore +1175 more"
11,Reliance Retail,4.0,"Retail , 1 Lakh+ Employees , 18 years old , Indore +1013 more"
12,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Indore +1317 more"
13,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Indore +637 more"
14,BYJU'S,3.1,"EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Indore +307 more"
15,Cyber Infrastructure,3.4,"IT Services & Consulting , 501-1k Employees , 21 years old , Indore +2 more"
16,YASH Technologies,3.8,"IT Services & Consulting , 5k-10k Employees , 28 years old , Indore +21 more"
17,DXC Technology,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 7 years old , Indore +83 more"
18,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Indore +182 more"
19,Viatris,4.2,"Pharma , 10k-50k Employees , Forbes Global 2000 , 4 years old , Indore +69 more"
20,InfoBeans,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 24 years old , Indore +4 more"
21,Hinduja Global Solutions,4.0,"IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Indore +104 more"
22,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Indore +660 more"
23,Symbiotec Pharmalab,3.9,"Pharma , 51-200 Employees , 30 years old , Indore +7 more"
24,AU Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Indore +409 more"
25,Glenmark Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 47 years old , Indore +141 more"
26,Rakuten Symphony,3.6,"1k-5k Employees , 3 years old , Indore +3 more"
27,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Indore +573 more"
28,HDB Financial Services,4.0,"NBFC , 1 Lakh+ Employees , 17 years old , Indore +959 more"
29,Impetus Technologies,3.6,"IT Services & Consulting , 1k-5k Employees , 33 years old , Indore +16 more"
30,Ipca Laboratories,4.0,"Pharma , 10k-50k Employees , Public , 75 years old , Indore +128 more"
31,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Indore +588 more"
32,Galaxy Weblinks,3.9,"IT Services & Consulting , 501-1k Employees , 24 years old , Indore +7 more"
33,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Indore +689 more"
34,InnoEye Technologies,3.5,"IT Services & Consulting , 501-1k Employees , 12 years old , Indore +2 more"
35,Sayaji Hotels,4.3,"Hospitality , 1k-5k Employees , Public , 37 years old , Indore +27 more"
36,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Indore +455 more"
37,Bandhan Bank,3.8,"Banking , 50k-1 Lakh Employees , Public , 23 years old , Indore +782 more"
38,Force Motors,3.6,"Automobile , 1k-5k Employees , Public , 66 years old , Indore +82 more"
39,Iksula,3.8,"IT Services & Consulting , 501-1k Employees , 17 years old , Indore +107 more"
40,Annova Solutions,3.9,"10k-50k Employees , Indore +2 more"
41,Conneqt Business Solutions,3.7,"BPO , 10k-50k Employees , 22 years old , Indore +224 more"
42,ShopKirana,3.8,"Software Product , 501-1k Employees , Startup , 10 years old , Indore +21 more"
43,Jana Small Finance Bank,3.9,"Banking , 10k-50k Employees , Public , 18 years old , Indore +354 more"
44,CapitalVia,4.1,"Analytics & KPO , 501-1k Employees , 19 years old , Indore +6 more"
45,WM Logistics,3.7,"Logistics , 501-1k Employees , 13 years old , Indore +3 more"
46,FIS,3.9,"FinTech , 10k-50k Employees , 56 years old , Indore +43 more"
47,Capita,3.8,"IT Services & Consulting , 5k-10k Employees , 19 years old , Indore +25 more"
48,Waste Management Holdings,3.9,"Waste Management , 51-200 Employees , Forbes Global 2000 , 56 years old , Indore +12 more"
49,LanceSoft,3.2,"Recruitment , 1k-5k Employees , 24 years old , Indore +23 more"
50,Macleods Pharmaceuticals,3.8,"Pharma , 10k-50k Employees , Public , 38 years old , Indore +98 more"
51,Yutika Natural,4.0,Indore +35 more
52,Kogta Financial India Limited,4.8,"NBFC , 1k-5k Employees , Public , 28 years old , Indore +206 more"
53,Velnik India,3.4,"Beauty & Personal Care , 1k-5k Employees , 7 years old , Indore +35 more"
54,Jash Engineering,4.2,"Engineering & Construction , 51-200 Employees , Public , 76 years old , Indore +2 more"
55,SRF,4.3,"Chemicals , 5k-10k Employees , Public , 54 years old , Indore +47 more"
56,Uniinfo Telecom Services,4.0,"Telecom , 201-500 Employees , Public , 14 years old , Indore +30 more"
57,RWS Group,3.9,"IT Services & Consulting , 5k-10k Employees , 68 years old , Indore +11 more"
58,Par Pharmaceutical Companies,4.4,"Pharma , 201-500 Employees , 46 years old , Indore +8 more"
59,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Indore +443 more"
60,Shalby Hospitals,4.6,"Healthcare , 1k-5k Employees , Public , 30 years old , Indore +23 more"
61,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Indore +563 more"
62,Patanjali Foods,4.0,"FMCG , 5k-10k Employees , Public , 38 years old , Indore +150 more"
63,Beyond Key Systems,4.5,"IT Services & Consulting , 201-500 Employees , 19 years old , Indore +4 more"
64,Ujaas Energy,3.6,"Power , 201-500 Employees , Public , 45 years old , Indore +15 more"
65,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Indore +623 more"
66,Flipkart,4.0,"Internet , 10k-50k Employees , Public , 17 years old , Indore +516 more"
67,ITL Industries,3.6,"Industrial Machinery , 51-200 Employees , Public , 39 years old , Indore +8 more"
68,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Indore +181 more"
69,Prem Henna,3.5,"Beauty & Personal Care , 201-500 Employees , 94 years old , Indore +50 more"
70,Dezire Research,4.4,"Investment Banking / Venture Capital / Private Equity , 51-200 Employees , 8 years old , Indore +1 more"
71,MoreYeahs,4.3,"IT Services & Consulting , 51-200 Employees , 10 years old , Indore"
72,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Indore +327 more"
73,Yes Bank,3.9,"Banking , 10k-50k Employees , Public , 20 years old , Indore +447 more"
74,Dilip Buildcon,4.1,"Engineering & Construction , 10k-50k Employees , Public , 37 years old , Indore +189 more"
75,IIFL Finance,4.0,"NBFC , 10k-50k Employees , Public , 29 years old , Indore +673 more"
76,Gramophone,4.1,"Agriculture , 201-500 Employees , Startup , 8 years old , Indore +15 more"
77,Deqode,3.6,"IT Services & Consulting , 51-200 Employees , 12 years old , Indore +1 more"
78,Kriti Industries,3.9,"Building Material , 501-1k Employees , 41 years old , Indore +26 more"
79,Patel Motors,3.7,"Auto Components , 11-50 Employees , 31 years old , Indore +5 more"
80,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Indore +480 more"
81,REDVision Global Technologies,4.6,"FinTech , 51-200 Employees , 18 years old , Indore"
82,Carryfast group,3.8,"Logistics , 501-1k Employees , 48 years old , Indore +15 more"
83,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Indore +687 more"
84,Protonshub Technologies,4.4,"IT Services & Consulting , 51-200 Employees , 6 years old , Indore"
85,Continuum Global Solutions,3.6,"BPO , 11-50 Employees , Indore +3 more"
86,Yellow Diamond,4.2,"FMCG , 1k-5k Employees , Public , 15 years old , Indore +54 more"
87,Bajaj Finance,4.1,"NBFC , 10k-50k Employees , 37 years old , Indore +771 more"
88,DMart,4.0,"Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Indore +213 more"
89,SMFG India Credit,4.1,"NBFC , 10k-50k Employees , 17 years old , Indore +484 more"
90,Hindustan Unilever,4.3,"FMCG , 10k-50k Employees , Public , 152 years old , Indore +436 more"
91,Udaan,4.0,"1k-5k Employees , Indian Unicorn , 8 years old , Indore +333 more"
92,Reliance General Insurance,3.9,"Insurance , 5k-10k Employees , 24 years old , Indore +167 more"
93,ICICI Prudential Life Insurance,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Indore +450 more"
94,Samvardhana Motherson Group,3.8,"Auto Components , 1k-5k Employees , Public , 38 years old , Indore +81 more"
95,Altruist Technologies,3.2,"BPO , 1k-5k Employees , 19 years old , Indore +30 more"
96,Systematix Infotech,3.8,"IT Services & Consulting , 201-500 Employees , 19 years old , Indore +2 more"
97,Choksi Laboratories,3.4,"51-200 Employees , Public , 42 years old , Indore +6 more"
98,Apollo Hospitals,4.2,"Healthcare , 10k-50k Employees , Public , 41 years old , Indore +189 more"
99,SynergyTop,4.6,"IT Services & Consulting , 51-200 Employees , 10 years old , Indore +2 more"
100,Samsung,4.1,"Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Indore +499 more"
101,JK Cement,4.2,"Building Material , 1k-5k Employees , Public , 49 years old , Indore +244 more"
102,Shakti Pumps,3.9,"Industrial Machinery , 501-1k Employees , Public , 42 years old , Indore +34 more"
103,Bridgestone,4.2,"Auto Components , 1k-5k Employees , Forbes Global 2000 , 28 years old , Indore +49 more"
104,CreativeFuel,4.4,"Marketing & Advertising , 51-200 Employees , Startup , 4 years old , Indore +1 more"
105,Oorja Technical Services,3.4,"Electrical Equipment , 51-200 Employees , 20 years old , Indore +10 more"
106,Bajaj Finserv,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Indore +904 more"
107,Skillventory,3.8,"Recruitment , 51-200 Employees , 16 years old , Indore +11 more"
108,ICICI Lombard General Insurance Company,3.8,"Insurance , 10k-50k Employees , Public , 23 years old , Indore +264 more"
109,OPPO,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Indore +354 more"
110,Home Credit Finance,4.1,"Financial Services , 10k-50k Employees , 12 years old , Indore +116 more"
111,Vivo,4.1,"Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Indore +373 more"
112,First Source,3.8,"BPO , 10k-50k Employees , Public , 23 years old , Indore +55 more"
113,Shriram Finance,4.1,"NBFC , 50k-1 Lakh Employees , Public , 45 years old , Indore +966 more"
114,Pataa,4.7,"Software Product , 51-200 Employees , Indore"
115,Conduent,3.6,"BPO , 5k-10k Employees , 7 years old , Indore +22 more"
116,Reliance Communications,4.0,"Telecom , 201-500 Employees , Public , 22 years old , Indore +420 more"
117,Unichem Laboratories,3.9,"Pharma , 1k-5k Employees , Public , 80 years old , Indore +65 more"
118,Xtrim Global Solutions,4.8,"BPO , 51-200 Employees , 15 years old , Indore +1 more"
119,Amazon Development Centre India,4.2,"Internet , 10k-50k Employees , Indore +84 more"
120,Balaji Wafers,4.3,"FMCG , 1k-5k Employees , 40 years old , Indore +39 more"
121,Evitamin Business Consulting,3.7,"Marketing & Advertising , 201-500 Employees , Indore +1 more"
122,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Indore +113 more"
123,Tata Capital,4.2,"NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Indore +236 more"
124,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Indore +433 more"
125,Canopus Infosystems,4.4,"IT Services & Consulting , 11-50 Employees , 13 years old , Indore +2 more"
126,Eicher Motors,4.2,"Automobile , 5k-10k Employees , Public , 42 years old , Indore +81 more"
127,Codiant Software Technologies,3.7,"IT Services & Consulting , 201-500 Employees , 14 years old , Indore +2 more"
128,Lms Solutions,3.4,"Internet , 51-200 Employees , 16 years old , Indore"
129,Dainik Bhaskar Group,4.4,"Printing & Publishing , 5k-10k Employees , Public , 66 years old , Indore +128 more"
130,Pratibha Syntex,4.2,"Fashion & Textile , 501-1k Employees , 27 years old , Indore +10 more"
131,CARS24,3.7,"Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Indore +148 more"
132,Alkem Laboratories,4.0,"Pharma , 10k-50k Employees , Public , 51 years old , Indore +165 more"
133,JBM Group,4.0,"Auto Components , 1k-5k Employees , Public , 41 years old , Indore +85 more"
134,SGS,4.0,"1k-5k Employees , Forbes Global 2000 , 146 years old , Indore +111 more"
135,Max Life Insurance,4.2,"Insurance , 10k-50k Employees , 24 years old , Indore +402 more"
136,Kalyan Toll Infrastructure,4.4,"Engineering & Construction , 51-200 Employees , 22 years old , Indore +27 more"
137,Appalto Electronics Private Limited,3.7,"Industrial Automation , 201-500 Employees , 41 years old , Indore"
138,Vertisystem,4.1,"IT Services & Consulting , 51-200 Employees , 17 years old , Indore"
139,Serosoft Solutions,3.2,"IT Services & Consulting , 201-500 Employees , 16 years old , Indore"
140,ICS Instrumentation & Control Solution,4.0,"Industrial Automation , 51-200 Employees , Indore +10 more"
141,Abacus Consultancy Services,4.2,"IT Services & Consulting , 51-200 Employees , 22 years old , Indore +3 more"
142,Aakash Global Foods,4.3,"FMCG , 51-200 Employees , 92 years old , Indore +13 more"
143,Batchmaster Software,3.9,"Software Product , 201-500 Employees , 41 years old , Indore +2 more"
144,ClearTrail Technologies,3.8,"Emerging Technologies , 201-500 Employees , 23 years old , Indore +4 more"
145,Delhivery,4.0,"Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Indore +632 more"
146,L&T Construction,4.1,"Engineering & Construction , 5k-10k Employees , Public , 80 years old , Indore +360 more"
147,RSPL Group,4.2,"FMCG , 10k-50k Employees , 36 years old , Indore +207 more"
148,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Indore +116 more"
149,Webgility,3.8,"IT Services & Consulting , 51-200 Employees , 17 years old , Indore"
150,Vacmet India,4.4,"Packaging , 501-1k Employees , Public , 31 years old , Indore +12 more"
151,Ralson India,3.8,"Auto Components , 501-1k Employees , Public , 50 years old , Indore +40 more"
152,WebKorps Solutions,3.7,"IT Services & Consulting , 51-200 Employees , 8 years old , Indore +1 more"
153,Equitas Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Indore +368 more"
154,Potomac Technologies,3.9,"Financial Services , 51-200 Employees , Indore +1 more"
155,Controlf5,4.6,"IT Services & Consulting , 11-50 Employees , 12 years old , Indore"
