,company_name,company_rating,other_data
0,AU Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Jaipur +409 more"
1,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Jaipur +192 more"
2,Genpact,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , Jaipur +112 more"
3,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Jaipur +1295 more"
4,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Jaipur +1560 more"
5,Hero MotoCorp,4.2,"Automobile , 5k-10k Employees , Public , 40 years old , Jaipur +315 more"
6,Deutsche Bank,4.0,"Banking , 10k-50k Employees , Fortune India 500 , 154 years old , Jaipur +38 more"
7,Kogta Financial India Limited,4.8,"NBFC , 1k-5k Employees , Public , 28 years old , Jaipur +206 more"
8,NBC Bearings,3.9,"Auto Components , 1k-5k Employees , Public , 78 years old , Jaipur +25 more"
9,Infosys BPM,3.8,"BPO , 10k-50k Employees , 22 years old , Jaipur +68 more"
10,JCB,4.0,"Industrial Machinery , 1k-5k Employees , 79 years old , Jaipur +90 more"
11,Reliance Retail,4.0,"Retail , 1 Lakh+ Employees , 18 years old , Jaipur +1013 more"
12,Aavas Financiers,4.0,"Financial Services , 5k-10k Employees , Public , 13 years old , Jaipur +235 more"
13,HDB Financial Services,4.0,"NBFC , 1 Lakh+ Employees , 17 years old , Jaipur +959 more"
14,Jaipur Rugs,4.4,"Furniture & Furnishing , 501-1k Employees , 46 years old , Jaipur +14 more"
15,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Jaipur +182 more"
16,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Jaipur +1175 more"
17,MetLife,4.3,"Insurance , 1k-5k Employees , Forbes Global 2000 , 16 years old , Jaipur +39 more"
18,BYJU'S,3.1,"EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Jaipur +307 more"
19,Celebal Technologies,2.7,"IT Services & Consulting , 1k-5k Employees , Startup , 9 years old , Jaipur +15 more"
20,Vodafone Idea,4.2,"Telecom , 5k-10k Employees , Public , 6 years old , Jaipur +637 more"
21,H.G. Infra Engineering,4.4,"Engineering & Construction , 1k-5k Employees , Public , 21 years old , Jaipur +77 more"
22,NAV Backoffice,3.7,"Accounting & Auditing , 1k-5k Employees , 33 years old , Jaipur +7 more"
23,Sigma Electric Manufacturing Corporation,4.0,"Industrial Machinery , 1k-5k Employees , 42 years old , Jaipur +20 more"
24,Bosch,4.3,"Auto Components , 5k-10k Employees , Public , 138 years old , Jaipur +103 more"
25,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Jaipur +1317 more"
26,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Jaipur +573 more"
27,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Jaipur +480 more"
28,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Jaipur +660 more"
29,Vaibhav Global,3.4,"Jewellery , 1k-5k Employees , Public , 44 years old , Jaipur +8 more"
30,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Jaipur +588 more"
31,Jumio,3.7,"IT Services & Consulting , 201-500 Employees , 14 years old , Jaipur +8 more"
32,GirnarSoft,3.6,"IT Services & Consulting , 1k-5k Employees , 17 years old , Jaipur +44 more"
33,Genus Power Infrastructures,4.0,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 32 years old , Jaipur +45 more"
34,In Time Tec Visionsoft,4.3,"Software Product , 501-1k Employees , 15 years old , Jaipur +6 more"
35,Dotsquares,3.4,"IT Services & Consulting , 1k-5k Employees , 22 years old , Jaipur +2 more"
36,Nagarro,4.1,"IT Services & Consulting , 10k-50k Employees , 28 years old , Jaipur +43 more"
37,Shriram General Insurance,3.7,"Insurance , 1k-5k Employees , 16 years old , Jaipur +157 more"
38,Metacube Software,4.0,"IT Services & Consulting , 1k-5k Employees , 20 years old , Jaipur +3 more"
39,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Jaipur +689 more"
40,Formidium Corp,,"Financial Services , 501-1k Employees , 8 years old , Jaipur +3 more"
41,Thrillophilia,3.8,"Travel & Tourism , 201-500 Employees , 14 years old , Jaipur +5 more"
42,Ericsson,4.3,"Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old , Jaipur +151 more"
43,QDegrees,3.5,"Management Consulting , 501-1k Employees , 11 years old , Jaipur +26 more"
44,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Jaipur +623 more"
45,Cyntexa,4.1,"IT Services & Consulting , 201-500 Employees , 6 years old , Jaipur +1 more"
46,SK Finance Limited,4.1,"NBFC , 10k-50k Employees , Public , 30 years old , Jaipur +149 more"
47,The Akshaya Patra Foundation,4.6,"Non-Profit , 5k-10k Employees , 24 years old , Jaipur +66 more"
48,Gravita,4.4,"Metals & Mining , 201-500 Employees , Public , 32 years old , Jaipur +13 more"
49,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Jaipur +327 more"
50,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Jaipur +455 more"
51,CarDekho,3.7,"Internet , 1k-5k Employees , Indian Unicorn , 16 years old , Jaipur +68 more"
52,Jaipur National University,3.0,"Education & Training , 201-500 Employees , 17 years old , Jaipur +3 more"
53,MattsenKumar,3.6,"BPO , 1k-5k Employees , 14 years old , Jaipur +9 more"
54,W3Era,4.6,"Marketing & Advertising , 201-500 Employees , 17 years old , Jaipur"
55,Dr B Lal Clinical Laboratory,4.6,"Healthcare , 201-500 Employees , 33 years old , Jaipur +13 more"
56,Vitromed Healthcare,3.8,"Medical Equipment , 51-200 Employees , 52 years old , Jaipur +4 more"
57,Mayur Uniquoters,4.2,"Leather , 501-1k Employees , Public , 32 years old , Jaipur +7 more"
58,GVK Emergency Management and Research Institute,3.7,"Non-Profit , 10k-50k Employees , 19 years old , Jaipur +149 more"
59,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Jaipur +687 more"
60,KDK Software,3.4,"Software Product , 51-200 Employees , 18 years old , Jaipur +10 more"
61,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Jaipur +563 more"
62,DealShare,3.5,"Internet , 1k-5k Employees , Indian Unicorn , 6 years old , Jaipur +45 more"
63,A3logics,3.3,"IT Services & Consulting , 201-500 Employees , 21 years old , Jaipur +4 more"
64,Ess Kay Fincorp,4.1,"NBFC , 5k-10k Employees , Public , 30 years old , Jaipur +108 more"
65,JustDial,3.6,"Internet , 10k-50k Employees , Public , 28 years old , Jaipur +181 more"
66,EXL Service,3.8,"Analytics & KPO , 10k-50k Employees , 25 years old , Jaipur +46 more"
67,Pinnacle Infotech,3.6,"IT Services & Consulting , 1k-5k Employees , 32 years old , Jaipur +15 more"
68,NIMS University,3.1,"Education & Training , 501-1k Employees , 16 years old , Jaipur +6 more"
69,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Jaipur +433 more"
70,Astegic,4.0,"IT Services & Consulting , 51-200 Employees , 21 years old , Jaipur +1 more"
71,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Jaipur +113 more"
72,Bajaj Finance,4.1,"NBFC , 10k-50k Employees , 37 years old , Jaipur +771 more"
73,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Jaipur +443 more"
